Currency,Date,Closing Price (USD),Volume,Volume in BTC
BTC,2015-05-12,242.089965,19282600.0,79650.554701844
BTC,2015-05-13,241.143347,27180100.0,112713.45586822265
BTC,2015-05-14,235.749295,24413700.0,103557.89186983572
BTC,2015-05-15,236.749797,16329400.0,68973.23759901682
BTC,2015-05-16,237.148846,11089700.0,46762.6142275219
BTC,2015-05-17,235.664353,11134300.0,47246.43272629357
BTC,2015-05-18,236.189902,16780300.0,71045.79771577194
BTC,2015-05-19,232.917253,14241900.0,61145.74947352655
BTC,2015-05-20,231.494289,15499400.0,66953.70355335202
BTC,2015-05-21,234.108395,15108900.0,64538.052981824934
BTC,2015-05-22,235.140514,27003000.0,114837.71784219201
BTC,2015-05-23,240.218354,14605000.0,60798.85136503766
BTC,2015-05-24,238.506004,11508000.0,48250.357672337675
BTC,2015-05-25,240.428057,14423900.0,59992.58231330298
BTC,2015-05-26,236.923468,16425000.0,69326.18426807765
BTC,2015-05-27,236.834355,18837000.0,79536.60270276245
BTC,2015-05-28,237.065961,13829600.0,58336.5066062774
BTC,2015-05-29,236.850409,14805000.0,62507.808462344685
BTC,2015-05-30,236.552162,14098600.0,59600.38530529262
BTC,2015-05-31,232.938981,14730800.0,63238.87885471603
BTC,2015-06-01,228.911707,26090500.0,113976.2589774406
BTC,2015-06-02,222.305276,20459000.0,92031.10411108732
BTC,2015-06-03,224.940443,17752400.0,78920.44562213297
BTC,2015-06-04,224.936406,14728100.0,65476.72856478377
BTC,2015-06-05,223.768013,18056500.0,80692.94515297859
BTC,2015-06-06,224.48728,11131500.0,49586.328454779265
BTC,2015-06-07,225.083457,13318400.0,59170.941203377726
BTC,2015-06-08,222.907579,23378400.0,104879.34104743921
BTC,2015-06-09,228.389056,28353100.0,124143.86440653268
BTC,2015-06-10,229.04234,15904800.0,69440.43620930523
BTC,2015-06-11,228.537431,14416000.0,63079.38238791176
BTC,2015-06-12,229.575756,14017700.0,61059.14772638274
BTC,2015-06-13,229.470833,13305300.0,57982.532359570076
BTC,2015-06-14,232.183886,12165900.0,52397.69309399878
BTC,2015-06-15,233.653656,19912100.0,85220.57964288819
BTC,2015-06-16,236.949148,41612000.0,175615.74013340616
BTC,2015-06-17,250.827587,43858400.0,174854.76986229589
BTC,2015-06-18,248.857962,30980200.0,124489.48689855462
BTC,2015-06-19,249.129056,23965300.0,96196.32645338647
BTC,2015-06-20,244.425259,20608100.0,84312.4809780809
BTC,2015-06-21,245.11259,10600900.0,43249.10442176797
BTC,2015-06-22,243.66241,17692500.0,72610.7075769299
BTC,2015-06-23,246.911361,15108700.0,61190.784979715856
BTC,2015-06-24,243.751731,17344900.0,71158.05877087289
BTC,2015-06-25,240.012215,16133100.0,67217.82889258365
BTC,2015-06-26,242.077664,13983500.0,57764.51973693864
BTC,2015-06-27,243.124362,20488600.0,84272.09775053312
BTC,2015-06-28,251.319118,15137600.0,60232.58445463747
BTC,2015-06-29,248.618804,34742900.0,139743.65350096367
BTC,2015-06-30,256.736691,44533800.0,173460.98770120862
BTC,2015-07-01,262.508063,27029800.0,102967.50389720411
BTC,2015-07-02,258.051293,21551900.0,83517.89192546306
BTC,2015-07-03,254.603739,19033800.0,74758.52505056887
BTC,2015-07-04,256.11961,15620400.0,60988.691963102705
BTC,2015-07-05,260.60165,44156100.0,169439.06533208827
BTC,2015-07-06,271.85882,49154800.0,180810.02485039848
BTC,2015-07-07,268.848039,28857600.0,107337.95979073516
BTC,2015-07-08,265.699098,36980200.0,139180.75100126988
BTC,2015-07-09,270.354102,40301200.0,149068.202412553
BTC,2015-07-10,269.411507,100390000.0,372626.99399101763
BTC,2015-07-11,285.305328,41109900.0,144090.8947904401
BTC,2015-07-12,293.355179,56405000.0,192275.45323138815
BTC,2015-07-13,311.022534,62053900.0,199515.76884779672
BTC,2015-07-14,292.440656,28727200.0,98232.57953572639
BTC,2015-07-15,287.304948,27486600.0,95670.47205883832
BTC,2015-07-16,285.61609,49482600.0,173248.64295985567
BTC,2015-07-17,278.867644,27591400.0,98940.84377892187
BTC,2015-07-18,279.915468,25187100.0,89981.09386366601
BTC,2015-07-19,276.958476,15332500.0,55360.28440595549
BTC,2015-07-20,274.907643,22711400.0,82614.65469695943
BTC,2015-07-21,279.638416,22930700.0,82001.25121578432
BTC,2015-07-22,275.915773,19389800.0,70274.3441927113
BTC,2015-07-23,277.827433,18531300.0,66700.75665278167
BTC,2015-07-24,276.529998,37199400.0,134522.1143060219
BTC,2015-07-25,288.820679,20662200.0,71539.89136629654
BTC,2015-07-26,289.273504,16032300.0,55422.63559679493
BTC,2015-07-27,292.856431,30592000.0,104460.74172091513
BTC,2015-07-28,294.093543,25453600.0,86549.33304673064
BTC,2015-07-29,295.053741,24672600.0,83620.69877975213
BTC,2015-07-30,290.004226,21635800.0,74605.11971987608
BTC,2015-07-31,288.278261,23629100.0,81966.2915893613
BTC,2015-08-01,284.407784,18995000.0,66787.90479236672
BTC,2015-08-02,280.492812,17722200.0,63182.36775350949
BTC,2015-08-03,282.304127,21474100.0,76067.25494310609
BTC,2015-08-04,280.942654,21908700.0,77982.8185149842
BTC,2015-08-05,285.451732,20128000.0,70512.79688854716
BTC,2015-08-06,282.333962,18792100.0,66559.82817965059
BTC,2015-08-07,279.121189,42484800.0,152209.15385252246
BTC,2015-08-08,279.822054,58533000.0,209179.36654128056
BTC,2015-08-09,261.728057,23789600.0,90894.34381885928
BTC,2015-08-10,265.461649,20979400.0,79029.87146742239
BTC,2015-08-11,264.727125,25433900.0,96075.91213027376
BTC,2015-08-12,271.657012,26815400.0,98710.5019030394
BTC,2015-08-13,267.139904,27685500.0,103636.7071540162
BTC,2015-08-14,264.524486,27091200.0,102414.71558893795
BTC,2015-08-15,265.937124,19321100.0,72652.88768032251
BTC,2015-08-16,261.795466,29717000.0,113512.27908584179
BTC,2015-08-17,257.964436,21617900.0,83801.86174190306
BTC,2015-08-18,257.106781,42147200.0,163928.77634759853
BTC,2015-08-19,220.795121,60869200.0,275681.8163568026
BTC,2015-08-20,226.45461,32275000.0,142523.04247637087
BTC,2015-08-21,235.520902,23173800.0,98393.81474515582
BTC,2015-08-22,232.620885,23205900.0,99758.45462027195
BTC,2015-08-23,230.606894,18406600.0,79818.08210816108
BTC,2015-08-24,228.788772,59220700.0,258844.43315251503
BTC,2015-08-25,210.369911,61089200.0,290389.43691904686
BTC,2015-08-26,222.206051,31808000.0,143146.4168363264
BTC,2015-08-27,225.821614,21905400.0,97003.11503397544
BTC,2015-08-28,225.487719,31336600.0,138972.535351249
BTC,2015-08-29,231.541891,17142500.0,74036.27881746893
BTC,2015-08-30,229.976061,19412600.0,84411.39445379056
BTC,2015-08-31,228.973938,20710700.0,90450.03191585935
BTC,2015-09-01,230.273955,20575200.0,89350.96459345565
BTC,2015-09-02,227.972279,18760400.0,82292.46153213216
BTC,2015-09-03,229.540856,17482000.0,76160.73366912948
BTC,2015-09-04,227.172825,20962400.0,92275.12137510286
BTC,2015-09-05,230.728768,20671400.0,89591.77556913925
BTC,2015-09-06,235.722164,25473700.0,108066.63050997615
BTC,2015-09-07,240.429486,21192200.0,88143.09905399873
BTC,2015-09-08,240.59247,26879200.0,111720.86973461806
BTC,2015-09-09,244.186226,23635700.0,96793.7478996051
BTC,2015-09-10,238.827529,21215500.0,88831.88671269131
BTC,2015-09-11,238.770168,19224700.0,80515.5022548713
BTC,2015-09-12,240.243484,17962600.0,74768.31296702307
BTC,2015-09-13,235.123795,18478800.0,78591.79033751135
BTC,2015-09-14,230.727051,20997800.0,91007.10085355358
BTC,2015-09-15,230.960243,19177800.0,83035.07023933985
BTC,2015-09-16,230.458616,20144200.0,87409.18586441567
BTC,2015-09-17,229.037079,18935400.0,82673.94992406448
BTC,2015-09-18,233.238849,20242200.0,86787.42879579208
BTC,2015-09-19,233.083494,12712600.0,54540.97062746107
BTC,2015-09-20,231.705669,14444700.0,62340.72762371645
BTC,2015-09-21,230.409946,19678800.0,85407.77141625648
BTC,2015-09-22,227.145239,25009300.0,110102.68192326056
BTC,2015-09-23,230.949642,17254100.0,74709.36023360452
BTC,2015-09-24,230.294972,25097800.0,108981.10272246847
BTC,2015-09-25,234.5941,22363600.0,95328.91065887846
BTC,2015-09-26,235.378747,13724100.0,58306.453640863336
BTC,2015-09-27,234.276596,14179900.0,60526.319069447294
BTC,2015-09-28,233.215967,24713000.0,105966.1579689353
BTC,2015-09-29,240.072871,22691300.0,94518.38479492338
BTC,2015-09-30,236.869857,19743500.0,83351.6777949505
BTC,2015-10-01,236.434715,20488800.0,86657.32525784125
BTC,2015-10-02,237.918319,19677900.0,82708.63749672004
BTC,2015-10-03,237.825444,16482700.0,69305.8729241771
BTC,2015-10-04,239.611143,12999000.0,54250.398530088394
BTC,2015-10-05,238.807407,23335900.0,97718.49329614805
BTC,2015-10-06,240.794243,27535100.0,114351.15581230902
BTC,2015-10-07,246.711984,22999200.0,93222.8731945182
BTC,2015-10-08,243.585494,18515300.0,76011.50502008137
